rowID,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
241,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,36.13
242,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,38.426
243,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,39.866
244,Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,41.293
245,Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
246,Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,34.454
247,Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,35.231
248,Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,35.157
249,Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,33.509
250,Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
251,Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,32.82
252,Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,32.359
253,Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,31.359
254,Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,28.169
255,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2010,152.881
256,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2022,172.312
257,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
258,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2030,155.548
259,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2035,130.52
260,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2040,113.804
261,Stated Policies Scenario,Energy,Coal,Total energy supply,EJ,2050,93.53
262,Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
263,Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2030,137.801
264,Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2035,94.695
265,Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2040,65.611
266,Announced Pledges Scenario,Energy,Coal,Total energy supply,EJ,2050,40.157
267,Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2023,175.444
268,Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2030,100.827
269,Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2035,51.069
270,Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2040,25.009
271,Net Zero Emissions by 2050 Scenario,Energy,Coal,Total energy supply,EJ,2050,14.676
272,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2010,151.011
273,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2022,168.95
274,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
275,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,151.417
276,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,126.164
277,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,109.422
278,Stated Policies Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,89.393
279,Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
280,Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,133.625
281,Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,87.482
282,Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,56.228
283,Announced Pledges Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,27.737
284,Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2023,171.784
285,Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2030,95.318
286,Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2035,41.463
287,Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2040,13.404
288,Net Zero Emissions by 2050 Scenario,Energy,Coal: unabated,Total energy supply,EJ,2050,1.961
289,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2010,0.0
290,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2022,0.013
291,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
292,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,0.185
293,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,0.35
294,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,0.477
295,Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2050,0.528
296,Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
297,Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,0.399
298,Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,3.651
299,Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,6.219
300,Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2050,10.07
301,Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
302,Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,2.04
303,Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,6.613
304,Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,9.144
