PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2010,2.388
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2022,4.281
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2023,4.598
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2030,5.814
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2035,6.284
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2040,6.871
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2050,8.219
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2023,4.598
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2030,9.654
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2035,12.399
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2040,14.245
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2050,13.907
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2023,4.598
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2030,11.941
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2035,13.554
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2040,13.809
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,World,2050,11.676
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2010,0.807
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2022,1.291
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2023,1.286
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2030,2.16
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2035,3.191
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2040,4.547
World Energy Outlook 2024,Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,World,2050,8.43
