SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,5.814
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,6.284
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,6.871
Stated Policies Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,8.219
Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,9.654
Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,12.399
Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,14.245
Announced Pledges Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,13.907
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2023,4.598
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2030,11.941
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2035,13.554
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2040,13.809
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: liquid,Total energy supply,EJ,2050,11.676
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2010,0.807
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2022,1.291
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,2.16
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,3.191
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,4.547
Stated Policies Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,8.43
Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,3.97
Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,5.965
Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,7.989
Announced Pledges Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,12.055
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2023,1.286
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2030,6.365
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2035,8.847
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2040,10.502
Net Zero Emissions by 2050 Scenario,Energy,Modern bioenergy: gas,Total energy supply,EJ,2050,12.429
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2010,20.818
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2022,19.106
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,14.585
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2035,13.374
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2040,12.046
Stated Policies Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2050,9.693
Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2023,19.123
Announced Pledges Scenario,Energy,Traditional use of biomass,Total energy supply,EJ,2030,6.425
